task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
141;(4, 10);(3, 5);141;146;163;33;False
137;(10, 6);(1, 11);139;151;166;20;False
144;(10, 11);(4, 12);145;158;168;26;False
129;(9, 1);(3, 13);131;149;169;34;False
136;(7, 8);(16, 1);137;153;169;23;False
138;(13, 7);(1, 8);141;153;169;17;False
145;(11, 9);(10, 2);148;156;169;10;False
146;(16, 12);(16, 8);149;157;169;25;False
150;(12, 1);(4, 6);154;154;171;32;False
143;(13, 11);(13, 4);142;154;173;28;False
135;(4, 3);(10, 10);137;156;174;27;False
154;(5, 5);(15, 5);156;162;175;21;False
139;(1, 13);(16, 7);141;155;176;12;False
142;(15, 9);(4, 8);141;157;177;15;False
134;(11, 13);(3, 1);136;154;178;22;False
149;(6, 9);(1, 3);153;166;178;11;False
148;(10, 4);(16, 6);151;166;181;24;False
155;(13, 8);(8, 5);157;170;181;13;False
160;(1, 7);(1, 4);169;178;181;26;False
162;(16, 2);(13, 2);170;171;181;23;False
156;(7, 6);(4, 4);161;177;182;19;False
158;(5, 9);(14, 9);164;173;182;33;False
147;(12, 13);(10, 12);149;173;184;14;False
140;(5, 13);(10, 3);141;169;186;30;False
152;(6, 5);(1, 2);156;168;186;31;False
169;(1, 12);(1, 8);176;184;188;32;False
153;(6, 13);(8, 13);156;177;191;29;False
164;(8, 9);(13, 7);170;184;191;17;False
157;(12, 9);(2, 9);164;174;194;18;False
182;(10, 2);(13, 2);187;188;194;30;False
161;(9, 9);(3, 13);170;185;195;25;False
163;(4, 10);(7, 10);170;189;198;10;False
176;(1, 1);(6, 9);182;184;198;26;False
177;(16, 6);(13, 11);182;191;199;23;False
168;(14, 5);(13, 3);175;190;201;27;False
171;(7, 8);(16, 11);178;183;201;15;False
165;(10, 11);(7, 4);170;189;203;34;False
166;(10, 6);(16, 1);172;191;203;21;False
172;(13, 4);(12, 1);179;201;205;22;False
179;(11, 1);(6, 1);183;200;205;33;False
170;(15, 1);(4, 11);177;184;206;12;False
174;(15, 9);(2, 5);182;187;206;24;False
180;(7, 7);(3, 9);185;195;206;14;False
159;(10, 7);(16, 13);167;185;210;20;False
167;(1, 11);(7, 11);174;200;210;28;False
173;(16, 3);(9, 13);179;197;214;11;False
189;(6, 5);(2, 1);199;206;214;10;False
151;(11, 5);(1, 10);155;172;215;16;False
194;(10, 4);(9, 5);204;213;216;34;False
187;(13, 7);(12, 9);195;214;217;18;False
192;(8, 13);(3, 13);202;213;218;15;False
183;(1, 13);(4, 6);189;209;219;32;False
181;(13, 12);(7, 12);187;212;220;31;False
175;(3, 1);(15, 13);182;192;221;13;False
178;(11, 9);(4, 2);183;204;223;19;False
184;(4, 7);(16, 10);192;208;223;17;False
188;(4, 8);(5, 13);196;207;223;25;False
185;(1, 6);(12, 5);192;213;225;29;False
193;(10, 2);(5, 5);202;215;225;26;False
198;(11, 13);(12, 13);207;226;227;14;False
195;(16, 7);(10, 6);204;210;228;21;False
202;(10, 11);(7, 8);211;217;228;28;False
197;(6, 13);(9, 9);206;223;230;33;False
186;(16, 12);(7, 2);195;207;231;30;False
190;(1, 8);(8, 9);199;218;232;23;False
196;(5, 1);(14, 1);206;213;232;22;False
215;(12, 5);(12, 1);226;226;233;29;False
191;(4, 3);(14, 9);200;215;235;27;False
201;(13, 10);(4, 11);211;221;235;20;False
199;(3, 9);(16, 6);207;218;236;12;False
200;(16, 8);(13, 2);207;228;237;24;False
209;(9, 1);(15, 1);220;231;237;32;False
212;(10, 10);(13, 7);224;236;242;17;False
205;(13, 11);(14, 13);216;233;244;16;False
210;(13, 6);(15, 9);221;235;245;31;False
207;(4, 12);(10, 7);218;232;247;18;False
213;(1, 7);(11, 9);224;234;248;19;False
211;(9, 5);(7, 12);222;241;250;13;False
214;(7, 7);(13, 8);224;235;250;25;False
216;(1, 2);(10, 8);226;234;251;26;False
203;(13, 3);(7, 11);215;235;253;11;False
217;(7, 6);(1, 6);228;248;256;14;False
219;(10, 3);(12, 9);229;238;256;28;False
206;(15, 5);(2, 9);217;237;257;34;False
218;(1, 12);(7, 10);229;247;257;21;False
221;(8, 5);(1, 10);232;245;257;30;False
