(8, 9);(6, 13);0
(3, 1);(7, 2);0
(10, 8);(1, 6);0
(4, 12);(4, 11);0
(10, 6);(4, 6);0
(7, 11);(7, 3);0
(10, 2);(3, 9);0
(7, 4);(5, 13);0
(7, 7);(7, 12);0
(1, 2);(9, 9);0
(10, 11);(10, 13);0
(1, 4);(3, 5);0
(4, 4);(10, 1);0
(10, 3);(4, 10);0
(1, 8);(4, 2);0
(3, 13);(10, 4);0
(9, 13);(1, 11);6
(1, 10);(1, 3);9
(7, 11);(1, 1);10
(3, 5);(9, 5);11
(7, 8);(10, 10);12
(2, 9);(7, 6);13
(4, 12);(7, 7);13
(1, 12);(7, 2);14
(4, 7);(5, 5);15
(1, 7);(7, 4);17
(1, 2);(4, 8);19
(9, 1);(7, 12);21
(1, 8);(4, 6);22
(3, 1);(8, 5);22
(5, 13);(2, 13);24
(4, 11);(5, 9);25
(1, 6);(6, 9);25
(7, 7);(10, 12);30
(1, 11);(10, 10);34
(1, 13);(3, 13);34
(9, 13);(10, 2);35
(1, 3);(10, 1);35
(7, 8);(4, 6);36
(3, 9);(2, 5);36
(7, 10);(7, 11);37
(10, 4);(4, 10);38
(6, 5);(1, 7);39
(10, 11);(1, 8);39
(10, 8);(10, 12);39
(4, 3);(5, 13);40
(4, 12);(3, 1);41
(2, 13);(10, 6);46
(2, 1);(7, 3);46
(5, 1);(2, 9);46
(7, 12);(1, 10);47
(8, 5);(7, 2);47
(5, 9);(8, 13);48
(9, 1);(10, 3);49
(1, 1);(1, 3);51
(9, 5);(5, 5);54
(4, 2);(9, 9);55
(7, 7);(1, 13);56
(10, 13);(4, 4);56
(5, 13);(6, 9);57
(8, 1);(8, 5);57
(1, 2);(6, 13);58
(1, 12);(4, 3);59
(4, 6);(10, 2);61
(7, 11);(3, 5);62
(1, 6);(7, 10);63
(10, 10);(1, 7);66
(7, 2);(10, 11);67
(10, 7);(3, 1);68
(10, 1);(8, 5);70
(6, 5);(10, 12);70
(5, 13);(4, 10);71
(7, 8);(8, 1);71
(1, 10);(4, 8);75
(2, 13);(5, 5);75
(1, 1);(10, 4);77
(4, 6);(2, 1);78
(6, 9);(7, 4);80
(7, 7);(10, 6);81
(10, 2);(4, 12);81
(1, 8);(8, 13);85
(2, 5);(4, 11);87
(7, 2);(1, 2);87
(9, 5);(6, 13);88
(3, 9);(1, 6);88
(10, 7);(10, 11);88
(1, 3);(8, 9);89
(1, 12);(3, 13);90
(5, 9);(9, 9);90
(10, 8);(4, 4);91
(3, 1);(10, 1);92
(9, 1);(1, 1);100
(6, 13);(4, 7);102
(8, 1);(6, 1);102
(10, 12);(2, 13);102
(1, 4);(5, 13);102
(2, 9);(7, 7);104
(10, 3);(10, 4);105
(3, 5);(4, 11);106
(7, 4);(9, 13);107
(10, 13);(5, 5);108
(6, 1);(7, 11);109
(1, 7);(10, 6);110
(7, 10);(3, 13);110
(1, 11);(7, 12);112
(8, 9);(4, 7);112
(9, 9);(6, 9);113
(2, 5);(2, 1);113
(7, 3);(10, 11);116
(4, 3);(10, 3);121
(6, 13);(1, 12);123
(10, 7);(1, 2);124
(10, 12);(8, 5);124
(10, 2);(1, 1);125
(2, 9);(8, 1);125
(1, 4);(3, 9);125
(1, 8);(4, 6);126
(7, 2);(7, 6);126
(5, 1);(10, 4);126
(1, 10);(10, 10);129
(7, 8);(4, 11);130
(3, 1);(4, 7);132
(10, 1);(4, 4);135
(5, 13);(10, 8);137
(5, 9);(5, 5);138
(2, 1);(6, 9);140
(8, 13);(3, 9);140
(1, 8);(1, 13);140
(8, 9);(1, 6);140
(1, 1);(10, 13);141
(4, 12);(9, 1);141
(1, 3);(7, 12);146
(10, 3);(9, 13);147
(1, 7);(6, 13);150
(10, 7);(10, 11);150
(1, 10);(7, 11);152
(9, 5);(7, 8);152
(8, 13);(8, 1);153
(2, 5);(10, 4);153
(1, 2);(2, 9);154
(4, 8);(3, 5);155
(5, 13);(5, 9);159
(3, 13);(7, 4);160
(10, 2);(7, 10);161
(10, 8);(10, 1);161
(4, 3);(5, 1);163
(7, 8);(10, 13);165
(7, 6);(4, 8);165
(6, 5);(10, 7);168
(10, 12);(4, 11);168
(4, 10);(1, 1);169
(1, 11);(4, 12);173
(5, 9);(2, 1);173
(10, 10);(1, 8);173
(10, 8);(6, 1);173
(5, 13);(8, 9);174
(4, 2);(8, 5);174
(1, 12);(8, 13);174
(4, 11);(8, 1);178
(1, 6);(7, 10);178
(4, 7);(6, 9);180
(10, 12);(9, 5);183
(2, 9);(7, 12);184
(9, 1);(3, 13);184
(1, 4);(10, 4);185
(10, 2);(9, 9);187
(10, 13);(8, 9);187
(8, 5);(7, 6);188
(4, 6);(5, 9);189
(7, 4);(4, 2);189
(2, 5);(10, 11);190
(1, 2);(1, 10);193
(4, 11);(10, 6);195
(6, 13);(4, 10);199
(10, 7);(10, 3);199
(4, 3);(4, 12);199
(5, 1);(2, 9);200
(4, 8);(5, 13);200
(7, 6);(5, 5);202
(9, 13);(8, 5);203
(8, 1);(6, 1);204
(1, 12);(2, 13);205
(7, 2);(6, 9);207
(10, 1);(10, 4);210
(10, 12);(1, 6);211
(5, 9);(10, 11);211
(1, 11);(10, 10);213
(1, 1);(7, 3);214
(1, 4);(2, 1);214
(2, 5);(10, 8);214
(4, 12);(4, 2);215
(3, 5);(7, 8);216
(9, 1);(7, 12);218
(1, 10);(9, 9);220
(4, 8);(4, 11);223
(9, 13);(10, 7);223
(1, 7);(4, 10);223
(6, 5);(3, 9);225
(5, 1);(1, 2);226
(6, 13);(10, 6);227
(7, 4);(8, 9);229
(8, 1);(7, 7);231
(4, 6);(1, 6);231
(5, 9);(2, 5);232
(7, 3);(1, 3);233
(9, 5);(4, 7);234
(3, 1);(8, 13);235
(10, 13);(1, 4);238
(4, 12);(1, 11);239
(6, 9);(10, 8);239
(10, 3);(9, 1);241
(10, 6);(1, 1);243
(3, 13);(4, 3);243
(3, 5);(4, 2);244
(10, 12);(8, 5);244
(9, 13);(7, 12);244
(3, 9);(7, 8);246
(5, 5);(7, 6);247
(4, 8);(4, 10);249
(3, 5);(9, 9);251
(10, 1);(1, 12);251
