(1, 7);(6, 1);0
(7, 2);(10, 4);0
(4, 12);(1, 11);0
(6, 5);(4, 7);0
(10, 1);(1, 1);0
(7, 10);(10, 8);0
(10, 6);(1, 13);0
(7, 6);(10, 12);0
(7, 8);(3, 1);0
(2, 5);(1, 3);0
(8, 9);(1, 2);0
(1, 8);(4, 6);0
(10, 7);(9, 5);0
(9, 1);(10, 11);0
(1, 10);(7, 7);0
(5, 1);(7, 3);0
(6, 13);(5, 9);7
(6, 5);(10, 2);9
(2, 13);(2, 1);9
(7, 4);(4, 4);11
(10, 4);(8, 5);11
(1, 12);(4, 3);12
(10, 10);(10, 7);15
(1, 4);(10, 13);16
(9, 5);(1, 11);18
(9, 13);(7, 10);18
(7, 7);(4, 12);18
(3, 5);(4, 8);18
(3, 9);(1, 3);20
(8, 13);(1, 10);21
(7, 11);(1, 7);22
(2, 9);(1, 2);24
(10, 8);(4, 6);24
(10, 2);(6, 5);26
(10, 6);(8, 1);27
(5, 9);(10, 4);27
(3, 13);(1, 13);28
(1, 3);(10, 11);31
(2, 1);(4, 2);31
(1, 8);(7, 4);32
(6, 9);(2, 5);33
(1, 6);(7, 7);33
(5, 5);(4, 4);33
(4, 7);(3, 1);34
(3, 5);(6, 1);34
(10, 12);(1, 4);37
(5, 1);(2, 1);40
(2, 13);(10, 3);42
(7, 2);(6, 5);43
(10, 13);(3, 9);44
(10, 4);(4, 10);44
(4, 3);(10, 1);45
(7, 6);(5, 13);46
(2, 5);(1, 8);47
(8, 9);(4, 8);48
(1, 2);(10, 2);50
(5, 9);(4, 12);50
(7, 8);(4, 6);51
(9, 13);(1, 10);52
(4, 2);(7, 4);52
(1, 12);(1, 3);54
(2, 9);(7, 7);56
(3, 5);(6, 5);57
(1, 13);(10, 1);57
(6, 1);(3, 1);61
(4, 4);(5, 9);62
(6, 13);(9, 9);64
(9, 1);(1, 7);64
(10, 11);(7, 10);65
(7, 3);(5, 1);65
(1, 6);(9, 5);66
(10, 6);(10, 8);66
(10, 7);(10, 3);69
(2, 9);(7, 12);71
(4, 8);(4, 3);72
(2, 13);(4, 11);72
(1, 8);(5, 1);73
(10, 10);(7, 3);74
(10, 12);(1, 10);75
(7, 6);(10, 8);77
(4, 6);(4, 10);78
(6, 9);(3, 13);79
(4, 7);(5, 13);80
(6, 13);(10, 6);81
(1, 1);(10, 4);81
(7, 7);(7, 11);82
(1, 3);(9, 9);83
(4, 12);(7, 8);83
(8, 9);(8, 5);85
(10, 11);(4, 2);86
(1, 12);(1, 2);86
(4, 10);(1, 13);86
(8, 13);(3, 5);88
(4, 3);(10, 8);90
(9, 5);(7, 10);90
(6, 1);(6, 5);91
(1, 6);(6, 9);93
(5, 1);(7, 6);93
(1, 4);(4, 6);93
(7, 12);(1, 11);93
(7, 2);(10, 3);97
(3, 1);(8, 9);98
(5, 13);(10, 13);98
(2, 9);(7, 4);98
(2, 13);(4, 12);101
(3, 9);(7, 10);103
(6, 13);(8, 1);103
(10, 2);(10, 7);103
(4, 10);(4, 8);104
(8, 5);(10, 3);106
(6, 5);(4, 7);107
(5, 5);(1, 2);107
(1, 8);(10, 8);109
(2, 9);(10, 1);110
(6, 1);(7, 2);111
(9, 13);(4, 3);113
(7, 3);(1, 11);113
(4, 11);(9, 9);114
(1, 3);(1, 13);115
(2, 1);(3, 5);116
(5, 1);(7, 8);117
(6, 5);(9, 1);118
(10, 10);(4, 7);119
(6, 13);(9, 5);122
(7, 12);(3, 9);123
(7, 4);(3, 1);123
(2, 1);(5, 13);126
(10, 6);(10, 7);127
(5, 9);(8, 9);128
(7, 11);(8, 1);130
(10, 3);(1, 1);131
(2, 5);(1, 13);131
(3, 5);(7, 10);131
(10, 13);(8, 5);132
(10, 1);(4, 8);135
(9, 1);(4, 2);135
(10, 12);(6, 9);135
(6, 1);(5, 9);135
(4, 3);(8, 9);137
(9, 9);(4, 7);137
(8, 13);(10, 7);137
(4, 10);(5, 1);138
(10, 2);(9, 13);140
(10, 11);(7, 6);140
(2, 9);(7, 3);144
(6, 5);(5, 5);145
(2, 13);(4, 4);146
(10, 6);(7, 8);149
(1, 2);(3, 1);149
(10, 12);(7, 2);150
(4, 11);(7, 10);153
(1, 8);(1, 7);153
(10, 8);(1, 12);155
(4, 6);(7, 12);155
(1, 1);(7, 4);156
(7, 7);(1, 3);157
(4, 4);(5, 13);158
(2, 5);(3, 9);159
(10, 7);(10, 10);161
(1, 7);(3, 13);161
(7, 8);(6, 5);164
(1, 2);(7, 11);165
(4, 12);(1, 11);165
(3, 1);(10, 2);165
(8, 13);(4, 2);166
(8, 5);(9, 5);169
(9, 9);(10, 6);169
(1, 8);(2, 1);170
(9, 1);(10, 1);171
(5, 5);(6, 13);172
(2, 9);(8, 1);175
(2, 5);(2, 13);175
(10, 13);(6, 1);175
(7, 10);(3, 9);176
(4, 10);(1, 11);179
(1, 13);(10, 12);179
(1, 1);(4, 3);180
(7, 12);(1, 4);181
(1, 12);(4, 7);182
(8, 9);(10, 3);182
(3, 13);(10, 1);183
(5, 13);(9, 13);183
(7, 2);(1, 10);184
(10, 2);(4, 6);186
(4, 12);(6, 13);187
(4, 4);(5, 9);189
(4, 11);(4, 2);190
(4, 8);(1, 11);190
(1, 2);(10, 8);190
(1, 3);(7, 11);192
(9, 1);(10, 13);195
(1, 6);(7, 8);196
(1, 8);(1, 7);196
(2, 9);(7, 4);197
(4, 3);(8, 13);198
(10, 3);(5, 5);198
(3, 5);(6, 1);200
(10, 6);(2, 13);201
(10, 7);(6, 5);202
(2, 1);(10, 12);205
(1, 13);(10, 4);207
(10, 11);(4, 4);208
(9, 9);(5, 1);208
(3, 13);(8, 1);209
(3, 9);(6, 9);210
(7, 10);(10, 2);210
(5, 9);(8, 9);213
(4, 2);(10, 8);215
(10, 1);(9, 5);215
(10, 13);(7, 7);215
(1, 12);(9, 13);220
(7, 2);(9, 1);220
(2, 9);(10, 6);221
(10, 3);(7, 3);223
(6, 1);(4, 11);223
(8, 5);(6, 13);224
(7, 12);(4, 7);226
(5, 13);(4, 10);226
(10, 1);(4, 6);226
(1, 4);(3, 9);227
(9, 9);(10, 11);229
(5, 1);(1, 1);231
(4, 2);(1, 7);232
(3, 5);(8, 1);232
(8, 9);(1, 8);235
(7, 7);(1, 13);237
(1, 6);(1, 2);237
(10, 13);(3, 1);238
(2, 5);(4, 4);239
(10, 3);(7, 11);239
(5, 9);(8, 5);240
(4, 8);(1, 10);240
(4, 6);(6, 9);240
(7, 3);(10, 10);240
(10, 12);(6, 13);242
(7, 12);(6, 5);246
(7, 8);(9, 9);247
(1, 11);(9, 1);248
(2, 1);(1, 10);249
(1, 7);(9, 5);250
(10, 2);(9, 13);250
(4, 12);(8, 1);250
(5, 1);(1, 12);251
(4, 6);(6, 1);252
(6, 9);(10, 8);253
(7, 2);(4, 2);255
(3, 5);(3, 13);255
(7, 6);(4, 7);258
(6, 13);(1, 8);258
(1, 13);(1, 4);259
(2, 9);(7, 3);264
(10, 6);(7, 8);265
(7, 11);(10, 3);265
(9, 13);(8, 9);266
(10, 10);(5, 13);266
(7, 2);(7, 4);268
(1, 3);(4, 2);268
(4, 10);(10, 13);269
(9, 9);(1, 2);269
(5, 5);(9, 5);269
(10, 11);(2, 13);270
(4, 4);(4, 6);270
(4, 7);(10, 2);272
(6, 5);(4, 12);273
(3, 13);(5, 9);276
(3, 5);(8, 13);277
(1, 11);(4, 3);278
(4, 6);(9, 5);278
(1, 6);(3, 9);279
(9, 1);(5, 5);281
(4, 2);(10, 6);282
(7, 2);(7, 4);283
(1, 7);(1, 13);283
(9, 13);(10, 13);283
(10, 8);(7, 8);290
(2, 5);(10, 1);290
(10, 3);(1, 2);291
(6, 9);(1, 3);292
(1, 8);(10, 7);293
(7, 6);(5, 1);294
(10, 2);(2, 1);295
(1, 4);(7, 10);295
(8, 9);(8, 5);295
(7, 12);(8, 13);295
(9, 5);(6, 5);298
(3, 13);(7, 7);298
(10, 8);(7, 8);302
(3, 9);(10, 10);302
(6, 13);(4, 6);303
(9, 9);(5, 13);305
(4, 12);(8, 5);308
(3, 1);(9, 13);308
(5, 5);(8, 1);309
(2, 5);(10, 7);310
(7, 3);(4, 11);310
(5, 9);(1, 7);310
(10, 4);(3, 5);312
(1, 12);(1, 3);315
(1, 8);(10, 3);317
(10, 13);(4, 4);317
(2, 9);(6, 1);319
(3, 13);(10, 2);320
(10, 12);(9, 1);321
(7, 11);(1, 13);321
(8, 9);(1, 10);323
(8, 1);(4, 7);323
(4, 12);(6, 9);325
(6, 5);(4, 2);325
(7, 12);(1, 1);326
(1, 6);(5, 1);329
(1, 2);(7, 6);331
(4, 6);(8, 13);332
(10, 1);(10, 7);335
(2, 1);(4, 3);336
(4, 8);(5, 9);338
(4, 11);(3, 1);340
(7, 8);(8, 5);343
(6, 9);(1, 13);343
(6, 1);(9, 5);344
(6, 5);(1, 7);346
(2, 13);(8, 1);347
(10, 10);(10, 13);349
(8, 9);(5, 5);351
(10, 8);(1, 8);352
(1, 12);(1, 11);353
(10, 3);(4, 2);353
(3, 13);(4, 12);355
(1, 3);(7, 4);356
(7, 11);(5, 9);356
(1, 7);(10, 4);356
